id,344
photo,151086.jpg
web_name,Lemina
team_code,20
status,i
code,151086
first_name,Mario
second_name,Lemina
squad_number,18
news,Abdominal injury - Unknown return date
now_cost,47
news_added,2019-01-10T16:01:17Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,8.5
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.0
transfers_out,29583
transfers_in,22168
transfers_out_event,13
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,40
event_points,0
points_per_game,2.2
ep_this,0.0
ep_next,0.0
special,False
minutes,1477
goals_scored,0
assists,2
clean_sheets,4
goals_conceded,32
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,1
bps,223
influence,257.4
creativity,169.8
threat,172.0
ict_index,60.0
ea_index,0
element_type,3
team,16
