id,494
photo,152551.jpg
web_name,Lerma
team_code,91
status,s
code,152551
first_name,Jefferson
second_name,Lerma
squad_number,8
news,Suspended until 09 Mar
now_cost,45
news_added,2019-02-23T18:01:19Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.2
value_season,10.0
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.8
transfers_out,48055
transfers_in,44162
transfers_out_event,90
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,45
event_points,0
points_per_game,2.1
ep_this,0.0
ep_next,0.0
special,False
minutes,1742
goals_scored,1
assists,1
clean_sheets,6
goals_conceded,34
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,10
red_cards,0
saves,0
bonus,3
bps,250
influence,341.2
creativity,151.3
threat,153.0
ict_index,64.7
ea_index,0
element_type,3
team,2
