id,292
photo,184667.jpg
web_name,Lindelöf
team_code,1
status,a
code,184667
first_name,Victor
second_name,Lindelöf
squad_number,2
news,
now_cost,51
news_added,2018-12-16T15:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.8
value_season,15.3
cost_change_start,1
cost_change_event,0
cost_change_start_fall,-1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,6.7
form,4.2
transfers_out,178150
transfers_in,490260
transfers_out_event,2482
transfers_in_event,1013
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,78
event_points,1
points_per_game,3.3
ep_this,5.2
ep_next,4.2
special,False
minutes,2068
goals_scored,1
assists,1
clean_sheets,6
goals_conceded,28
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,9
bps,431
influence,451.6
creativity,68.9
threat,96.0
ict_index,61.7
ea_index,0
element_type,2
team,14
