id,300
photo,109322.jpg
web_name,Lingard
team_code,1
status,d
code,109322
first_name,Jesse
second_name,Lingard
squad_number,14
news,Hamstring injury - 25% chance of playing
now_cost,67
news_added,2019-02-12T22:31:20Z
chance_of_playing_this_round,25
chance_of_playing_next_round,25
value_form,0.1
value_season,10.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,3.0
form,0.6
transfers_out,768534
transfers_in,619953
transfers_out_event,1222
transfers_in_event,32
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,70
event_points,0
points_per_game,3.2
ep_this,0.4
ep_next,0.1
special,False
minutes,1278
goals_scored,4
assists,3
clean_sheets,3
goals_conceded,18
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,236
influence,272.0
creativity,238.4
threat,323.0
ict_index,83.2
ea_index,0
element_type,3
team,14
