id,371
photo,19760.jpg
web_name,Llorente
team_code,6
status,a
code,19760
first_name,Fernando
second_name,Llorente
squad_number,18
news,
now_cost,54
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.4
value_season,5.2
cost_change_start,-6
cost_change_event,0
cost_change_start_fall,6
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.1
form,2.0
transfers_out,189436
transfers_in,227929
transfers_out_event,1419
transfers_in_event,127
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,28
event_points,0
points_per_game,2.2
ep_this,2.5
ep_next,3.5
special,False
minutes,384
goals_scored,1
assists,3
clean_sheets,0
goals_conceded,5
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,67
influence,105.6
creativity,120.9
threat,203.0
ict_index,42.6
ea_index,0
element_type,4
team,17
