id,351
photo,37915.jpg
web_name,Lloris
team_code,6
status,a
code,37915
first_name,Hugo
second_name,Lloris
squad_number,1
news,
now_cost,55
news_added,2018-08-31T12:31:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,1.1
value_season,20.9
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,5.3
form,6.0
transfers_out,445754
transfers_in,285253
transfers_out_event,581
transfers_in_event,920
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,115
event_points,10
points_per_game,4.6
ep_this,6.5
ep_next,7.5
special,False
minutes,2250
goals_scored,0
assists,0
clean_sheets,9
goals_conceded,25
own_goals,0
penalties_saved,2
penalties_missed,0
yellow_cards,0
red_cards,0
saves,75
bonus,10
bps,536
influence,661.4
creativity,0.0
threat,0.0
ict_index,66.2
ea_index,0
element_type,1
team,17
