id,65
photo,106757.jpg
web_name,Locadia
team_code,36
status,a
code,106757
first_name,Jürgen
second_name,Locadia
squad_number,9
news,
now_cost,53
news_added,2019-02-16T20:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,8.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.4
form,1.3
transfers_out,53610
transfers_in,65204
transfers_out_event,234
transfers_in_event,46
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,45
event_points,0
points_per_game,2.1
ep_this,1.3
ep_next,1.3
special,False
minutes,1005
goals_scored,2
assists,0
clean_sheets,3
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,6
bps,134
influence,144.6
creativity,170.6
threat,332.0
ict_index,64.4
ea_index,0
element_type,4
team,3
