id,347
photo,20452.jpg
web_name,Long
team_code,20
status,a
code,20452
first_name,Shane
second_name,Long
squad_number,7
news,
now_cost,48
news_added,2018-12-16T13:31:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,7.7
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.4
form,1.0
transfers_out,238702
transfers_in,272002
transfers_out_event,1202
transfers_in_event,451
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,37
event_points,0
points_per_game,2.1
ep_this,0.0
ep_next,-0.5
special,False
minutes,830
goals_scored,1
assists,2
clean_sheets,1
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,90
influence,110.8
creativity,118.2
threat,248.0
ict_index,47.7
ea_index,0
element_type,4
team,16
