id,239
photo,38454.jpg
web_name,Lovren
team_code,14
status,i
code,38454
first_name,Dejan
second_name,Lovren
squad_number,6
news,Muscle injury - Unknown return date
now_cost,49
news_added,2019-02-04T22:01:20Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,11.0
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,1.6
form,0.0
transfers_out,495198
transfers_in,221807
transfers_out_event,233
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,54
event_points,0
points_per_game,6.0
ep_this,0.0
ep_next,0.0
special,False
minutes,810
goals_scored,1
assists,1
clean_sheets,5
goals_conceded,5
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,9
bps,207
influence,196.8
creativity,27.0
threat,68.0
ict_index,29.2
ea_index,0
element_type,2
team,12
