id,69
photo,68983.jpg
web_name,Lowton
team_code,90
status,a
code,68983
first_name,Matthew
second_name,Lowton
squad_number,2
news,
now_cost,46
news_added,2019-01-24T16:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,4.8
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,0.0
transfers_out,48569
transfers_in,11111
transfers_out_event,12
transfers_in_event,5
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,22
event_points,0
points_per_game,1.5
ep_this,0.5
ep_next,-1.0
special,False
minutes,1208
goals_scored,0
assists,0
clean_sheets,3
goals_conceded,32
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,0
bps,193
influence,225.6
creativity,103.3
threat,28.0
ict_index,35.8
ea_index,0
element_type,2
team,4
