id,116
photo,41270.jpg
web_name,David Luiz
team_code,8
status,a
code,41270
first_name,David
second_name,Luiz Moreira Marinho
squad_number,30
news,
now_cost,59
news_added,2018-07-05T14:31:07Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,20.7
cost_change_start,4
cost_change_event,0
cost_change_start_fall,-4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,12.8
form,4.3
transfers_out,736454
transfers_in,1191482
transfers_out_event,1523
transfers_in_event,4177
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,122
event_points,0
points_per_game,4.7
ep_this,5.3
ep_next,4.8
special,False
minutes,2340
goals_scored,2
assists,2
clean_sheets,12
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,16
bps,596
influence,643.6
creativity,277.2
threat,243.0
ict_index,116.2
ea_index,0
element_type,2
team,6
