id,193
photo,54284.jpg
web_name,Löwe
team_code,38
status,a
code,54284
first_name,Chris
second_name,Löwe
squad_number,15
news,
now_cost,44
news_added,2019-02-07T15:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,8.6
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.2
transfers_out,14520
transfers_in,9467
transfers_out_event,8
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,38
event_points,0
points_per_game,1.8
ep_this,0.2
ep_next,-0.3
special,False
minutes,1534
goals_scored,0
assists,2
clean_sheets,1
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,6
bps,243
influence,252.8
creativity,295.4
threat,96.0
ict_index,64.3
ea_index,0
element_type,2
team,10
