id,233
photo,172780.jpg
web_name,Maddison
team_code,13
status,a
code,172780
first_name,James
second_name,Maddison
squad_number,10
news,
now_cost,67
news_added,2019-02-21T15:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,14.2
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,5.1
form,2.4
transfers_out,1418350
transfers_in,1618075
transfers_out_event,535
transfers_in_event,3030
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,95
event_points,0
points_per_game,3.7
ep_this,2.4
ep_next,2.9
special,False
minutes,1986
goals_scored,5
assists,5
clean_sheets,5
goals_conceded,35
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,2
red_cards,1
saves,0
bonus,8
bps,453
influence,578.2
creativity,1107.2
threat,526.0
ict_index,220.9
ea_index,0
element_type,3
team,11
