id,223
photo,103025.jpg
web_name,Mahrez
team_code,43
status,a
code,103025
first_name,Riyad
second_name,Mahrez
squad_number,26
news,
now_cost,82
news_added,2018-07-29T08:31:08Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,9.5
cost_change_start,-8
cost_change_event,0
cost_change_start_fall,8
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,1.8
form,1.8
transfers_out,585927
transfers_in,387038
transfers_out_event,104
transfers_in_event,320
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,78
event_points,6
points_per_game,3.4
ep_this,2.8
ep_next,2.8
special,False
minutes,1060
goals_scored,6
assists,2
clean_sheets,3
goals_conceded,7
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,0
red_cards,0
saves,0
bonus,9
bps,256
influence,347.2
creativity,325.2
threat,619.0
ict_index,129.0
ea_index,0
element_type,3
team,13
