id,251
photo,110979.jpg
web_name,Mané
team_code,14
status,a
code,110979
first_name,Sadio
second_name,Mané
squad_number,10
news,
now_cost,97
news_added,2018-12-08T12:31:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,16.1
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,True
dreamteam_count,4
selected_by_percent,25.4
form,6.4
transfers_out,2807055
transfers_in,3143219
transfers_out_event,785
transfers_in_event,14525
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,156
event_points,0
points_per_game,6.0
ep_this,7.4
ep_next,7.4
special,False
minutes,2183
goals_scored,14
assists,2
clean_sheets,14
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,16
bps,478
influence,684.2
creativity,437.8
threat,964.0
ict_index,208.6
ea_index,0
element_type,3
team,12
