id,58
photo,109345.jpg
web_name,March
team_code,36
status,a
code,109345
first_name,Solomon
second_name,March
squad_number,20
news,
now_cost,49
news_added,2019-02-10T12:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,16.1
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.9
form,1.5
transfers_out,144315
transfers_in,190357
transfers_out_event,494
transfers_in_event,98
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,79
event_points,0
points_per_game,2.9
ep_this,1.5
ep_next,1.5
special,False
minutes,2054
goals_scored,1
assists,5
clean_sheets,5
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,5
bps,293
influence,405.2
creativity,596.3
threat,284.0
ict_index,128.7
ea_index,0
element_type,3
team,3
