id,301
photo,148225.jpg
web_name,Martial
team_code,1
status,d
code,148225
first_name,Anthony
second_name,Martial
squad_number,11
news,Groin Injury - 50% chance of playing
now_cost,72
news_added,2019-02-12T22:31:20Z
chance_of_playing_this_round,50
chance_of_playing_next_round,50
value_form,0.3
value_season,14.2
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,3.8
form,2.4
transfers_out,1579428
transfers_in,1707985
transfers_out_event,2603
transfers_in_event,203
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,102
event_points,0
points_per_game,5.1
ep_this,1.7
ep_next,1.2
special,False
minutes,1269
goals_scored,9
assists,3
clean_sheets,4
goals_conceded,18
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,12
bps,327
influence,460.6
creativity,421.3
threat,570.0
ict_index,145.0
ea_index,0
element_type,3
team,14
