id,386
photo,155651.jpg
web_name,Masina
team_code,57
status,a
code,155651
first_name,Adam
second_name,Masina
squad_number,11
news,
now_cost,43
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.0
value_season,4.7
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.2
transfers_out,9206
transfers_in,6223
transfers_out_event,4
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,20
event_points,0
points_per_game,2.5
ep_this,0.2
ep_next,-0.8
special,False
minutes,534
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,1
bps,119
influence,133.0
creativity,59.7
threat,16.0
ict_index,20.9
ea_index,0
element_type,2
team,18
