id,410
photo,105717.jpg
web_name,Masuaku
team_code,21
status,a
code,105717
first_name,Arthur
second_name,Masuaku
squad_number,26
news,
now_cost,43
news_added,2019-02-28T10:01:21Z
chance_of_playing_this_round,75
chance_of_playing_next_round,100
value_form,0.0
value_season,7.9
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.7
form,0.2
transfers_out,234371
transfers_in,207266
transfers_out_event,427
transfers_in_event,36
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,34
event_points,0
points_per_game,1.9
ep_this,0.2
ep_next,0.7
special,False
minutes,1307
goals_scored,0
assists,1
clean_sheets,2
goals_conceded,24
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,224
influence,327.4
creativity,129.6
threat,39.0
ict_index,49.7
ea_index,0
element_type,3
team,19
