id,297
photo,43670.jpg
web_name,Mata
team_code,1
status,d
code,43670
first_name,Juan
second_name,Mata
squad_number,8
news,Hamstring injury - 25% chance of playing
now_cost,61
news_added,2019-02-24T17:31:21Z
chance_of_playing_this_round,25
chance_of_playing_next_round,25
value_form,0.2
value_season,8.7
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,1.0
form,1.4
transfers_out,178036
transfers_in,94568
transfers_out_event,202
transfers_in_event,12
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,53
event_points,0
points_per_game,2.9
ep_this,0.6
ep_next,0.3
special,False
minutes,997
goals_scored,2
assists,3
clean_sheets,4
goals_conceded,12
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,5
bps,213
influence,187.8
creativity,315.9
threat,216.0
ict_index,72.2
ea_index,0
element_type,3
team,14
