id,327
photo,61316.jpg
web_name,Joselu
team_code,4
status,a
code,61316
first_name,Jose Luis
second_name,Mato Sanmartín
squad_number,21
news,
now_cost,47
news_added,2019-01-28T14:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,6.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,2.3
form,0.4
transfers_out,479149
transfers_in,442665
transfers_out_event,253
transfers_in_event,281
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,30
event_points,0
points_per_game,1.9
ep_this,0.4
ep_next,0.4
special,False
minutes,586
goals_scored,2
assists,0
clean_sheets,1
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,3
bps,89
influence,121.4
creativity,35.9
threat,290.0
ict_index,44.6
ea_index,0
element_type,4
team,15
