id,514
photo,204454.jpg
web_name,Mbenza
team_code,38
status,i
code,204454
first_name,Isaac
second_name,Mbenza
squad_number,18
news,Calf injury - Expected back 16 Mar
now_cost,59
news_added,2019-02-02T17:01:21Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,4.1
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.2
transfers_out,1691
transfers_in,875
transfers_out_event,3
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,24
event_points,0
points_per_game,1.4
ep_this,0.0
ep_next,0.0
special,False
minutes,586
goals_scored,0
assists,1
clean_sheets,0
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,82
influence,59.0
creativity,69.7
threat,134.0
ict_index,25.9
ea_index,0
element_type,3
team,10
