id,147
photo,50471.jpg
web_name,McArthur
team_code,31
status,a
code,50471
first_name,James
second_name,McArthur
squad_number,18
news,
now_cost,48
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.7
value_season,18.8
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,3.1
form,3.4
transfers_out,240293
transfers_in,332164
transfers_out_event,1142
transfers_in_event,1550
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,90
event_points,1
points_per_game,3.1
ep_this,2.9
ep_next,3.4
special,False
minutes,2312
goals_scored,2
assists,5
clean_sheets,9
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,5
bps,358
influence,491.8
creativity,388.1
threat,347.0
ict_index,122.8
ea_index,0
element_type,3
team,7
