id,70
photo,51927.jpg
web_name,Mee
team_code,90
status,a
code,51927
first_name,Ben
second_name,Mee
squad_number,6
news,
now_cost,46
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,13.7
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.7
form,1.0
transfers_out,263139
transfers_in,101291
transfers_out_event,242
transfers_in_event,39
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,63
event_points,0
points_per_game,2.2
ep_this,1.5
ep_next,0.0
special,False
minutes,2610
goals_scored,0
assists,2
clean_sheets,6
goals_conceded,53
own_goals,1
penalties_saved,0
penalties_missed,0
yellow_cards,8
red_cards,0
saves,0
bonus,4
bps,436
influence,678.8
creativity,96.3
threat,180.0
ict_index,95.6
ea_index,0
element_type,2
team,4
