id,100
photo,76360.jpg
web_name,Mendez-Laing
team_code,97
status,a
code,76360
first_name,Nathaniel
second_name,Mendez-Laing
squad_number,19
news,
now_cost,48
news_added,2018-08-25T18:01:15Z
chance_of_playing_this_round,25
chance_of_playing_next_round,25
value_form,0.1
value_season,5.2
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.6
transfers_out,4372
transfers_in,1975
transfers_out_event,9
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,25
event_points,0
points_per_game,2.1
ep_this,0.0
ep_next,0.0
special,False
minutes,502
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,1
bps,99
influence,123.6
creativity,99.7
threat,140.0
ict_index,36.5
ea_index,0
element_type,3
team,5
