id,527
photo,86881.jpg
web_name,Mendy
team_code,13
status,a
code,86881
first_name,Nampalys
second_name,Mendy
squad_number,24
news,
now_cost,45
news_added,2019-02-10T16:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,11.3
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.0
form,0.4
transfers_out,120251
transfers_in,150640
transfers_out_event,134
transfers_in_event,118
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,51
event_points,0
points_per_game,2.1
ep_this,0.4
ep_next,0.9
special,False
minutes,2007
goals_scored,0
assists,1
clean_sheets,7
goals_conceded,28
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,5
red_cards,0
saves,0
bonus,0
bps,270
influence,224.6
creativity,116.9
threat,22.0
ict_index,36.4
ea_index,0
element_type,3
team,11
