id,580
photo,223911.jpg
web_name,Mepham
team_code,91
status,a
code,223911
first_name,Chris
second_name,Mepham
squad_number,33
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,1.3
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,1.0
transfers_out,166
transfers_in,498
transfers_out_event,6
transfers_in_event,23
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,6
event_points,2
points_per_game,1.2
ep_this,0.0
ep_next,1.5
special,False
minutes,281
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,7
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,41
influence,48.2
creativity,1.2
threat,8.0
ict_index,5.8
ea_index,0
element_type,2
team,2
