id,506
photo,164511.jpg
web_name,Mina
team_code,11
status,a
code,164511
first_name,Yerry
second_name,Mina
squad_number,13
news,
now_cost,54
news_added,2019-01-27T02:01:23Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,5.4
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.5
form,0.0
transfers_out,139473
transfers_in,51775
transfers_out_event,25
transfers_in_event,27
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,29
event_points,0
points_per_game,2.9
ep_this,-1.0
ep_next,0.0
special,False
minutes,696
goals_scored,1
assists,0
clean_sheets,2
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,2
bps,132
influence,160.0
creativity,37.0
threat,41.0
ict_index,23.8
ea_index,0
element_type,2
team,8
