id,30
photo,149484.jpg
web_name,Mings
team_code,91
status,u
code,149484
first_name,Tyrone
second_name,Mings
squad_number,26
news,Season-long loan to Aston Villa
now_cost,42
news_added,2019-01-31T14:31:18Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,1.2
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,9049
transfers_in,2380
transfers_out_event,10
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,5
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,0.0
special,False
minutes,141
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,4
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,41
influence,49.0
creativity,16.3
threat,2.0
ict_index,6.8
ea_index,0
element_type,2
team,2
