id,480
photo,128389.jpg
web_name,Mitrovic
team_code,54
status,a
code,128389
first_name,Aleksandar
second_name,Mitrovic
squad_number,9
news,
now_cost,65
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.2
value_season,16.9
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,3
selected_by_percent,13.0
form,1.4
transfers_out,2419934
transfers_in,2703492
transfers_out_event,3629
transfers_in_event,769
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,110
event_points,0
points_per_game,3.9
ep_this,0.4
ep_next,0.9
special,False
minutes,2470
goals_scored,10
assists,3
clean_sheets,2
goals_conceded,62
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,12
bps,321
influence,561.2
creativity,405.6
threat,1202.0
ict_index,217.2
ea_index,0
element_type,4
team,9
