id,199
photo,74471.jpg
web_name,Mooy
team_code,38
status,a
code,74471
first_name,Aaron
second_name,Mooy
squad_number,10
news,
now_cost,50
news_added,2018-12-10T14:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,10.4
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.0
form,1.4
transfers_out,216157
transfers_in,72051
transfers_out_event,40
transfers_in_event,18
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,52
event_points,0
points_per_game,2.5
ep_this,1.4
ep_next,0.9
special,False
minutes,1688
goals_scored,2
assists,0
clean_sheets,3
goals_conceded,30
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,3
bps,292
influence,355.8
creativity,557.4
threat,266.0
ict_index,118.1
ea_index,0
element_type,3
team,10
