id,134
photo,88482.jpg
web_name,Morata
team_code,8
status,u
code,88482
first_name,Álvaro
second_name,Morata
squad_number,29
news,Joined Atletico Madrid on loan until the end of the 2019/20 season
now_cost,84
news_added,2019-01-28T16:01:22Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,5.5
cost_change_start,-6
cost_change_event,0
cost_change_start_fall,6
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.4
form,0.0
transfers_out,447816
transfers_in,317945
transfers_out_event,68
transfers_in_event,1
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,46
event_points,0
points_per_game,2.9
ep_this,0.0
ep_next,0.0
special,False
minutes,936
goals_scored,5
assists,0
clean_sheets,6
goals_conceded,11
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,3
bps,119
influence,219.8
creativity,130.2
threat,523.0
ict_index,86.3
ea_index,0
element_type,4
team,6
