id,215
photo,15033.jpg
web_name,Morgan
team_code,13
status,a
code,15033
first_name,Wes
second_name,Morgan
squad_number,5
news,
now_cost,45
news_added,2018-12-29T15:31:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,10.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.8
form,0.0
transfers_out,98933
transfers_in,58443
transfers_out_event,89
transfers_in_event,47
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,46
event_points,0
points_per_game,2.7
ep_this,0.0
ep_next,0.5
special,False
minutes,1480
goals_scored,1
assists,0
clean_sheets,5
goals_conceded,23
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,2
saves,0
bonus,2
bps,256
influence,307.8
creativity,37.3
threat,197.0
ict_index,54.3
ea_index,0
element_type,2
team,11
