id,90
photo,49982.jpg
web_name,Morrison
team_code,97
status,a
code,49982
first_name,Sean
second_name,Morrison
squad_number,4
news,
now_cost,47
news_added,2019-01-18T12:01:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,13.8
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,0.2
transfers_out,65833
transfers_in,46063
transfers_out_event,37
transfers_in_event,11
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,65
event_points,1
points_per_game,2.6
ep_this,-0.3
ep_next,-0.3
special,False
minutes,2229
goals_scored,0
assists,4
clean_sheets,6
goals_conceded,51
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,2
bps,352
influence,462.6
creativity,184.9
threat,424.0
ict_index,107.3
ea_index,0
element_type,2
team,5
