id,211
photo,169141.jpg
web_name,Mounie
team_code,38
status,a
code,169141
first_name,Steve
second_name,Mounie
squad_number,24
news,
now_cost,58
news_added,2018-12-01T17:31:14Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,10.2
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,2.4
transfers_out,34105
transfers_in,28747
transfers_out_event,71
transfers_in_event,49
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,59
event_points,1
points_per_game,2.5
ep_this,2.4
ep_next,1.9
special,False
minutes,1504
goals_scored,2
assists,4
clean_sheets,5
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,1
saves,0
bonus,4
bps,145
influence,222.2
creativity,241.2
threat,699.0
ict_index,114.5
ea_index,0
element_type,4
team,10
