id,44
photo,178304.jpg
web_name,Mousset
team_code,91
status,a
code,178304
first_name,Lys
second_name,Mousset
squad_number,9
news,
now_cost,49
news_added,2018-09-01T13:01:13Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,4.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.3
form,2.0
transfers_out,19931
transfers_in,14889
transfers_out_event,53
transfers_in_event,136
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,24
event_points,1
points_per_game,1.2
ep_this,1.0
ep_next,2.5
special,False
minutes,301
goals_scored,1
assists,0
clean_sheets,0
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,71
influence,60.2
creativity,53.5
threat,106.0
ict_index,21.7
ea_index,0
element_type,4
team,2
