id,321
photo,114243.jpg
web_name,Murphy
team_code,4
status,u
code,114243
first_name,Jacob
second_name,Murphy
squad_number,7
news,Season-long loan to West Bromwich Albion
now_cost,47
news_added,2019-01-31T23:31:19Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,3.4
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.0
form,0.0
transfers_out,4329
transfers_in,2289
transfers_out_event,4
transfers_in_event,0
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,16
event_points,0
points_per_game,1.8
ep_this,0.0
ep_next,0.0
special,False
minutes,296
goals_scored,0
assists,1
clean_sheets,1
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,50
influence,53.6
creativity,31.1
threat,22.0
ict_index,10.7
ea_index,0
element_type,3
team,15
