id,62
photo,20529.jpg
web_name,Murray
team_code,36
status,a
code,20529
first_name,Glenn
second_name,Murray
squad_number,17
news,
now_cost,63
news_added,2019-02-16T17:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,15.1
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.9
form,1.5
transfers_out,655736
transfers_in,759851
transfers_out_event,2582
transfers_in_event,257
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,95
event_points,0
points_per_game,3.4
ep_this,1.5
ep_next,1.5
special,False
minutes,1829
goals_scored,10
assists,0
clean_sheets,3
goals_conceded,32
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,4
red_cards,0
saves,0
bonus,13
bps,253
influence,369.4
creativity,135.7
threat,641.0
ict_index,112.9
ea_index,0
element_type,4
team,3
