id,7
photo,69140.jpg
web_name,Mustafi
team_code,3
status,a
code,69140
first_name,Shkodran
second_name,Mustafi
squad_number,20
news,
now_cost,54
news_added,2019-02-03T20:31:19Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,11.1
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.0
form,2.2
transfers_out,130371
transfers_in,94161
transfers_out_event,135
transfers_in_event,74
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,60
event_points,2
points_per_game,2.5
ep_this,1.7
ep_next,2.2
special,False
minutes,1981
goals_scored,2
assists,0
clean_sheets,4
goals_conceded,31
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,0
saves,0
bonus,2
bps,362
influence,555.8
creativity,55.3
threat,191.0
ict_index,80.5
ea_index,0
element_type,2
team,1
