id,488
photo,196118.jpg
web_name,Muto
team_code,4
status,a
code,196118
first_name,Yoshinori
second_name,Muto
squad_number,13
news,
now_cost,56
news_added,2019-01-02T23:01:17Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,3.6
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,10429
transfers_in,5029
transfers_out_event,6
transfers_in_event,11
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,20
event_points,0
points_per_game,1.7
ep_this,0.0
ep_next,0.0
special,False
minutes,459
goals_scored,1
assists,0
clean_sheets,1
goals_conceded,9
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,56
influence,67.0
creativity,55.2
threat,134.0
ict_index,25.2
ea_index,0
element_type,4
team,15
