id,569
photo,28554.jpg
web_name,Nasri
team_code,21
status,a
code,28554
first_name,Samir
second_name,Nasri
squad_number,18
news,
now_cost,53
news_added,2019-01-30T23:31:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,1.7
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,0.2
transfers_out,130208
transfers_in,152679
transfers_out_event,418
transfers_in_event,88
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,9
event_points,0
points_per_game,3.0
ep_this,0.2
ep_next,0.7
special,False
minutes,180
goals_scored,0
assists,1
clean_sheets,1
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,29
influence,23.0
creativity,53.7
threat,16.0
ict_index,9.3
ea_index,0
element_type,3
team,19
