id,227
photo,203341.jpg
web_name,Ndidi
team_code,13
status,a
code,203341
first_name,Wilfred
second_name,Ndidi
squad_number,25
news,
now_cost,49
news_added,2018-12-22T14:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.2
value_season,14.1
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.8
form,1.2
transfers_out,87342
transfers_in,83644
transfers_out_event,128
transfers_in_event,129
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,69
event_points,0
points_per_game,2.5
ep_this,1.2
ep_next,1.7
special,False
minutes,2488
goals_scored,2
assists,0
clean_sheets,7
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,7
red_cards,0
saves,0
bonus,4
bps,401
influence,517.4
creativity,246.3
threat,285.0
ict_index,105.0
ea_index,0
element_type,3
team,11
