id,176
photo,113688.jpg
web_name,Niasse
team_code,97
status,a
code,113688
first_name,Oumar
second_name,Niasse
squad_number,29
news,
now_cost,50
news_added,2019-02-22T22:31:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,3.4
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,1.6
transfers_out,58930
transfers_in,29500
transfers_out_event,105
transfers_in_event,72
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,17
event_points,2
points_per_game,1.5
ep_this,1.1
ep_next,1.1
special,False
minutes,502
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,20
influence,38.6
creativity,66.0
threat,164.0
ict_index,26.7
ea_index,0
element_type,4
team,5
