id,411
photo,18073.jpg
web_name,Noble
team_code,21
status,a
code,18073
first_name,Mark
second_name,Noble
squad_number,16
news,
now_cost,48
news_added,2018-10-27T19:01:15Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.8
value_season,12.3
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.4
form,4.0
transfers_out,41853
transfers_in,37128
transfers_out_event,98
transfers_in_event,683
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,59
event_points,7
points_per_game,2.6
ep_this,4.0
ep_next,4.5
special,False
minutes,1680
goals_scored,2
assists,3
clean_sheets,5
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,6
red_cards,1
saves,0
bonus,2
bps,270
influence,306.2
creativity,223.3
threat,122.0
ict_index,65.1
ea_index,0
element_type,3
team,19
