id,458
photo,167767.jpg
web_name,Kenedy
team_code,4
status,a
code,167767
first_name,Robert Kenedy
second_name,Nunes do Nascimento
squad_number,15
news,
now_cost,47
news_added,2019-01-16T00:31:18Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,9.8
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.6
form,0.4
transfers_out,200263
transfers_in,106276
transfers_out_event,61
transfers_in_event,20
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,46
event_points,0
points_per_game,2.2
ep_this,0.4
ep_next,0.4
special,False
minutes,1239
goals_scored,1
assists,1
clean_sheets,6
goals_conceded,16
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,1
red_cards,0
saves,0
bonus,1
bps,146
influence,201.2
creativity,175.2
threat,289.0
ict_index,66.5
ea_index,0
element_type,3
team,15
