id,397
photo,20046.jpg
web_name,Okaka
team_code,57
status,u
code,20046
first_name,Stefano
second_name,Okaka
squad_number,33
news,Season-long loan to Udinese
now_cost,50
news_added,2019-01-09T08:59:30Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,0.2
cost_change_start,0
cost_change_event,0
cost_change_start_fall,0
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,7018
transfers_in,5935
transfers_out_event,5
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,1
event_points,0
points_per_game,0.5
ep_this,0.0
ep_next,0.0
special,False
minutes,22
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,1
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,-1
influence,3.2
creativity,24.7
threat,26.0
ict_index,5.2
ea_index,0
element_type,4
team,18
