id,264
photo,57410.jpg
web_name,Otamendi
team_code,43
status,a
code,57410
first_name,Nicolás
second_name,Otamendi
squad_number,30
news,
now_cost,60
news_added,2018-11-24T15:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.8
value_season,10.0
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,2.8
form,4.8
transfers_out,373834
transfers_in,70072
transfers_out_event,124
transfers_in_event,1405
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,60
event_points,8
points_per_game,4.3
ep_this,5.8
ep_next,5.8
special,False
minutes,1048
goals_scored,0
assists,0
clean_sheets,8
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,5
bps,299
influence,245.4
creativity,46.6
threat,87.0
ict_index,37.9
ea_index,0
element_type,2
team,13
