id,12
photo,39476.jpg
web_name,Sokratis
team_code,3
status,a
code,39476
first_name,Sokratis
second_name,Papastathopoulos
squad_number,5
news,
now_cost,51
news_added,2019-01-25T23:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,8.4
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,1.1
form,1.8
transfers_out,134836
transfers_in,47455
transfers_out_event,42
transfers_in_event,137
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,43
event_points,2
points_per_game,2.3
ep_this,1.3
ep_next,1.8
special,False
minutes,1658
goals_scored,0
assists,2
clean_sheets,3
goals_conceded,25
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,8
red_cards,0
saves,0
bonus,3
bps,292
influence,365.0
creativity,53.3
threat,43.0
ict_index,46.3
ea_index,0
element_type,2
team,1
