id,95
photo,38716.jpg
web_name,Peltier
team_code,97
status,a
code,38716
first_name,Lee
second_name,Peltier
squad_number,2
news,
now_cost,39
news_added,2019-02-25T12:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.4
value_season,4.9
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,3.9
form,1.6
transfers_out,312151
transfers_in,317256
transfers_out_event,848
transfers_in_event,321
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,19
event_points,0
points_per_game,1.7
ep_this,1.1
ep_next,1.1
special,False
minutes,732
goals_scored,0
assists,0
clean_sheets,2
goals_conceded,14
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,0
bps,106
influence,135.6
creativity,23.7
threat,6.0
ict_index,16.6
ea_index,0
element_type,2
team,5
