id,465
photo,101537.jpg
web_name,Felipe Anderson
team_code,21
status,a
code,101537
first_name,Felipe Anderson
second_name,Pereira Gomes
squad_number,8
news,
now_cost,72
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.5
value_season,17.9
cost_change_start,2
cost_change_event,0
cost_change_start_fall,-2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,4
selected_by_percent,15.3
form,3.4
transfers_out,1638694
transfers_in,2322538
transfers_out_event,4758
transfers_in_event,5219
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,129
event_points,3
points_per_game,4.4
ep_this,3.4
ep_next,3.9
special,False
minutes,2460
goals_scored,8
assists,4
clean_sheets,6
goals_conceded,38
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,17
bps,507
influence,712.2
creativity,821.6
threat,573.0
ict_index,210.4
ea_index,0
element_type,3
team,19
