id,481
photo,156689.jpg
web_name,Pereira
team_code,1
status,a
code,156689
first_name,Andreas
second_name,Pereira
squad_number,15
news,
now_cost,45
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.7
value_season,4.9
cost_change_start,-5
cost_change_event,0
cost_change_start_fall,5
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.2
form,3.0
transfers_out,38150
transfers_in,14141
transfers_out_event,65
transfers_in_event,1478
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,22
event_points,12
points_per_game,2.4
ep_this,4.0
ep_next,3.0
special,False
minutes,385
goals_scored,1
assists,1
clean_sheets,1
goals_conceded,8
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,2
bps,86
influence,94.0
creativity,57.9
threat,31.0
ict_index,18.3
ea_index,0
element_type,3
team,14
