id,391
photo,61566.jpg
web_name,Pereyra
team_code,57
status,a
code,61566
first_name,Roberto
second_name,Pereyra
squad_number,37
news,
now_cost,60
news_added,2019-02-02T17:01:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.1
value_season,17.9
cost_change_start,0
cost_change_event,-1
cost_change_start_fall,0
cost_change_event_fall,1
in_dreamteam,False
dreamteam_count,1
selected_by_percent,9.8
form,0.8
transfers_out,1990606
transfers_in,2325820
transfers_out_event,1880
transfers_in_event,538
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,109
event_points,0
points_per_game,4.2
ep_this,0.8
ep_next,-0.2
special,False
minutes,2232
goals_scored,6
assists,4
clean_sheets,6
goals_conceded,39
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,3
red_cards,0
saves,0
bonus,13
bps,357
influence,370.4
creativity,335.2
threat,573.0
ict_index,128.2
ea_index,0
element_type,3
team,18
