id,154
photo,111234.jpg
web_name,Pickford
team_code,11
status,a
code,111234
first_name,Jordan
second_name,Pickford
squad_number,1
news,
now_cost,49
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.4
value_season,21.2
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,2
selected_by_percent,12.5
form,2.0
transfers_out,846125
transfers_in,443989
transfers_out_event,779
transfers_in_event,336
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,104
event_points,0
points_per_game,3.7
ep_this,1.0
ep_next,2.0
special,False
minutes,2520
goals_scored,0
assists,0
clean_sheets,7
goals_conceded,39
own_goals,0
penalties_saved,2
penalties_missed,0
yellow_cards,1
red_cards,0
saves,73
bonus,10
bps,485
influence,605.8
creativity,10.0
threat,0.0
ict_index,61.5
ea_index,0
element_type,1
team,8
