id,302
photo,74208.jpg
web_name,Pogba
team_code,1
status,a
code,74208
first_name,Paul
second_name,Pogba
squad_number,6
news,
now_cost,90
news_added,2019-01-30T10:31:23Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.7
value_season,16.7
cost_change_start,10
cost_change_event,0
cost_change_start_fall,-10
cost_change_event_fall,0
in_dreamteam,True
dreamteam_count,4
selected_by_percent,46.4
form,6.0
transfers_out,1608231
transfers_in,3680757
transfers_out_event,10467
transfers_in_event,3541
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,150
event_points,-1
points_per_game,5.8
ep_this,7.0
ep_next,6.0
special,False
minutes,2197
goals_scored,11
assists,10
clean_sheets,8
goals_conceded,27
own_goals,0
penalties_saved,0
penalties_missed,3
yellow_cards,4
red_cards,0
saves,0
bonus,16
bps,528
influence,916.4
creativity,601.1
threat,1032.0
ict_index,255.3
ea_index,0
element_type,3
team,14
