id,377
photo,41945.jpg
web_name,Prödl
team_code,57
status,a
code,41945
first_name,Sebastian
second_name,Prödl
squad_number,5
news,
now_cost,42
news_added,2018-12-13T18:01:16Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,0.2
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.0
transfers_out,8392
transfers_in,1088
transfers_out_event,1
transfers_in_event,5
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,1
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,-1.0
special,False
minutes,13
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,0
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,2
influence,0.0
creativity,0.0
threat,0.0
ict_index,0.0
ea_index,0
element_type,2
team,18
