id,60
photo,66242.jpg
web_name,Pröpper
team_code,36
status,a
code,66242
first_name,Davy
second_name,Pröpper
squad_number,24
news,
now_cost,48
news_added,2019-02-16T17:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.9
value_season,12.7
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.2
form,4.3
transfers_out,11133
transfers_in,13315
transfers_out_event,105
transfers_in_event,197
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,61
event_points,3
points_per_game,2.5
ep_this,4.3
ep_next,4.3
special,False
minutes,2132
goals_scored,1
assists,1
clean_sheets,4
goals_conceded,36
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,2
red_cards,0
saves,0
bonus,3
bps,296
influence,332.0
creativity,206.0
threat,115.0
ict_index,65.5
ea_index,0
element_type,3
team,3
