id,146
photo,19197.jpg
web_name,Puncheon
team_code,38
status,a
code,19197
first_name,Jason
second_name,Puncheon
squad_number,42
news,
now_cost,42
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.1
value_season,3.3
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.4
form,0.6
transfers_out,91843
transfers_in,122571
transfers_out_event,448
transfers_in_event,79
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,14
event_points,0
points_per_game,1.4
ep_this,0.6
ep_next,0.1
special,False
minutes,369
goals_scored,0
assists,0
clean_sheets,1
goals_conceded,6
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,0
bps,46
influence,34.0
creativity,66.6
threat,35.0
ict_index,13.6
ea_index,0
element_type,3
team,10
