id,326
photo,168580.jpg
web_name,Pérez
team_code,4
status,a
code,168580
first_name,Ayoze
second_name,Pérez
squad_number,17
news,
now_cost,61
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.5
value_season,12.8
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,1.1
form,2.8
transfers_out,180857
transfers_in,83938
transfers_out_event,178
transfers_in_event,84
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,78
event_points,2
points_per_game,2.8
ep_this,2.8
ep_next,2.8
special,False
minutes,2197
goals_scored,4
assists,1
clean_sheets,9
goals_conceded,26
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,7
bps,280
influence,435.6
creativity,463.9
threat,551.0
ict_index,145.0
ea_index,0
element_type,4
team,15
