id,502
photo,155851.jpg
web_name,Lucas
team_code,21
status,a
code,155851
first_name,Lucas
second_name,Pérez
squad_number,27
news,
now_cost,62
news_added,2019-01-28T13:31:21Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.0
value_season,3.5
cost_change_start,-3
cost_change_event,0
cost_change_start_fall,3
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,1
selected_by_percent,0.1
form,0.0
transfers_out,49916
transfers_in,40598
transfers_out_event,12
transfers_in_event,12
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,22
event_points,0
points_per_game,2.2
ep_this,0.0
ep_next,0.5
special,False
minutes,369
goals_scored,2
assists,0
clean_sheets,0
goals_conceded,10
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,3
bps,87
influence,85.0
creativity,85.3
threat,90.0
ict_index,26.0
ea_index,0
element_type,4
team,19
