id,209
photo,84112.jpg
web_name,Quaner
team_code,38
status,u
code,84112
first_name,Collin
second_name,Quaner
squad_number,23
news,Season-long loan to Ipswich Town
now_cost,43
news_added,2019-01-08T23:01:17Z
chance_of_playing_this_round,0
chance_of_playing_next_round,0
value_form,0.0
value_season,0.5
cost_change_start,-2
cost_change_event,0
cost_change_start_fall,2
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,3.5
form,0.0
transfers_out,423113
transfers_in,295205
transfers_out_event,620
transfers_in_event,206
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,2
event_points,0
points_per_game,1.0
ep_this,0.0
ep_next,0.0
special,False
minutes,37
goals_scored,0
assists,0
clean_sheets,0
goals_conceded,2
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,0
bps,3
influence,2.2
creativity,13.7
threat,0.0
ict_index,1.6
ea_index,0
element_type,4
team,10
