id,517
photo,216058.jpg
web_name,Quina
team_code,57
status,a
code,216058
first_name,Domingos
second_name,Quina
squad_number,20
news,
now_cost,44
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.1
value_season,3.6
cost_change_start,-1
cost_change_event,0
cost_change_start_fall,1
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,0.4
transfers_out,10633
transfers_in,10151
transfers_out_event,9
transfers_in_event,3
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,16
event_points,0
points_per_game,2.3
ep_this,0.4
ep_next,-0.6
special,False
minutes,322
goals_scored,1
assists,0
clean_sheets,0
goals_conceded,5
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,2
bps,61
influence,63.4
creativity,39.7
threat,22.0
ict_index,12.5
ea_index,0
element_type,3
team,18
