id,98
photo,104073.jpg
web_name,Ralls
team_code,97
status,a
code,104073
first_name,Joe
second_name,Ralls
squad_number,8
news,
now_cost,46
news_added,2019-02-27T16:01:20Z
chance_of_playing_this_round,75
chance_of_playing_next_round,100
value_form,0.4
value_season,8.0
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.1
form,1.8
transfers_out,24384
transfers_in,9276
transfers_out_event,3
transfers_in_event,2
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,37
event_points,2
points_per_game,1.6
ep_this,1.0
ep_next,1.3
special,False
minutes,1664
goals_scored,0
assists,0
clean_sheets,4
goals_conceded,35
own_goals,0
penalties_saved,0
penalties_missed,1
yellow_cards,3
red_cards,1
saves,0
bonus,0
bps,187
influence,231.2
creativity,439.2
threat,174.0
ict_index,84.2
ea_index,0
element_type,3
team,5
