id,468
photo,116535.jpg
web_name,Alisson
team_code,14
status,a
code,116535
first_name,Alisson
second_name,Ramses Becker
squad_number,13
news,
now_cost,60
news_added,None
chance_of_playing_this_round,None
chance_of_playing_next_round,None
value_form,0.8
value_season,22.5
cost_change_start,5
cost_change_event,0
cost_change_start_fall,-5
cost_change_event_fall,0
in_dreamteam,True
dreamteam_count,1
selected_by_percent,24.5
form,5.0
transfers_out,702456
transfers_in,1111356
transfers_out_event,1524
transfers_in_event,1822
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,135
event_points,0
points_per_game,4.8
ep_this,6.0
ep_next,6.0
special,False
minutes,2520
goals_scored,0
assists,0
clean_sheets,16
goals_conceded,15
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,59
bonus,8
bps,578
influence,519.2
creativity,0.1
threat,0.0
ict_index,51.8
ea_index,0
element_type,1
team,12
