id,14
photo,41792.jpg
web_name,Ramsey
team_code,3
status,a
code,41792
first_name,Aaron
second_name,Ramsey
squad_number,8
news,
now_cost,71
news_added,2019-02-09T17:01:20Z
chance_of_playing_this_round,100
chance_of_playing_next_round,100
value_form,0.3
value_season,10.3
cost_change_start,-4
cost_change_event,0
cost_change_start_fall,4
cost_change_event_fall,0
in_dreamteam,False
dreamteam_count,0
selected_by_percent,0.9
form,2.4
transfers_out,215023
transfers_in,176786
transfers_out_event,61
transfers_in_event,508
loans_in,0
loans_out,0
loaned_in,0
loaned_out,0
total_points,73
event_points,8
points_per_game,3.0
ep_this,1.9
ep_next,2.4
special,False
minutes,1051
goals_scored,3
assists,6
clean_sheets,6
goals_conceded,13
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,0
red_cards,0
saves,0
bonus,1
bps,234
influence,333.4
creativity,326.9
threat,393.0
ict_index,105.5
ea_index,0
element_type,3
team,1
